Generation,Best Individual
200,9658.95914978959
400,9553.406348619277
600,9548.918723925244
800,9548.918723925244
1000,9548.918723925244
1200,9548.918723925244
1400,9548.918723925244
1600,9548.918723925244
1800,9548.918723925244
2000,9548.918723925244
2200,9548.918723925244
2400,9548.918723925244
2600,9548.918723925244
2800,9548.918723925244
3000,9548.918723925244
3200,9548.918723925244
3400,9548.918723925244
3600,9548.918723925244
3800,9548.918723925244
4000,9548.918723925244
4200,9548.918723925244
4400,9548.918723925244
4600,9548.918723925244
4800,9548.918723925244
5000,9548.918723925244
