Generation,Best Individual
400,9889.514208031802
800,9797.629790894027
1200,9794.895263998065
1600,9794.895263998065
2000,9794.895263998065
2400,9794.895263998065
2800,9794.895263998065
3200,9794.895263998065
3600,9794.895263998065
4000,9794.895263998065
4400,9794.895263998065
4800,9794.895263998065
5200,9794.895263998065
5600,9794.895263998065
6000,9794.895263998065
6400,9794.895263998065
6800,9794.895263998065
7200,9794.895263998065
7600,9794.895263998065
8000,9794.895263998065
8400,9794.895263998065
8800,9794.895263998065
9200,9794.895263998065
9600,9794.895263998065
10000,9794.895263998065
10400,9794.895263998065
10800,9794.895263998065
11200,9794.895263998065
11600,9794.895263998065
12000,9794.895263998065
12400,9794.895263998065
12800,9794.895263998065
13200,9794.895263998065
13600,9794.895263998065
14000,9794.895263998065
14400,9794.895263998065
14800,9794.895263998065
15200,9794.895263998065
15600,9794.895263998065
16000,9794.895263998065
16400,9794.895263998065
16800,9794.895263998065
17200,9794.895263998065
17600,9794.895263998065
18000,9794.895263998065
18400,9794.895263998065
18800,9794.895263998065
19200,9794.895263998065
19600,9794.895263998065
20000,9794.895263998065
20400,9794.895263998065
20800,9794.895263998065
21200,9794.895263998065
21600,9794.895263998065
22000,9794.895263998065
22400,9794.895263998065
22800,9794.895263998065
23200,9794.895263998065
23600,9794.895263998065
24000,9794.895263998065
24400,9794.895263998065
24800,9794.895263998065
25200,9794.895263998065
