Generation,Best Individual
400,96161.57151946408
800,96122.48962642287
1200,96098.34639192816
1600,96073.34999239522
2000,96043.63483656083
2400,95989.0003717357
2800,95988.64500270702
3200,95957.42186655977
3600,95830.96849807024
4000,95819.5859186325
4400,95640.30354265436
4800,95569.74730835157
5200,95533.09471550543
5600,95450.76067662903
6000,95417.40561914674
6400,95387.3342181562
6800,95357.7574315859
7200,95343.3049020514
7600,95333.87798548746
8000,95310.74427132827
8400,95271.01092432012
8800,95236.30265953354
9200,95226.31733532014
9600,95155.13679340962
10000,95130.73742305202
10400,95065.73686367014
10800,95033.04560625512
11200,95017.02049517145
11600,95002.38949522134
12000,94962.04355750247
12400,94900.4111893569
12800,94900.4111893569
13200,94797.30556583824
13600,94794.52953833685
14000,94778.32830326355
14400,94707.8132188207
14800,94695.05160182781
15200,94627.0790030655
15600,94552.83986042587
16000,94478.04625097655
16400,94456.07705105828
16800,94392.86282485053
17200,94382.0803529093
17600,94372.93203169307
18000,94342.63637245256
18400,93953.59661825204
18800,93928.33237775737
19200,93928.33237775737
19600,93924.38238674965
20000,93882.89252067344
20400,93866.56590318792
20800,93857.49559592122
21200,93849.4990785425
21600,93849.4990785425
22000,93814.91458714155
22400,93796.5281283837
22800,93787.423593728
23200,93786.8735963767
23600,93719.1137355636
24000,93711.6577656826
24400,93695.95934672981
24800,93664.74917053159
25200,93664.74917053159
