Generation,Best Individual
400,1776907.9036904967
800,1076953.8101688384
1200,823987.4429493562
1600,672369.806992779
2000,571187.4669427789
2400,508400.22030895046
2800,459754.7235943354
3200,423482.59728427767
3600,395050.2275251469
4000,373213.36891931307
4400,355322.93807382125
4800,299513.51719836204
5200,284325.51802286424
5600,270088.8812245251
6000,262158.3917967202
6400,256701.2742884984
6800,247882.605797173
7200,241521.93464815465
7600,236460.82483955484
8000,231075.07269369738
8400,227907.40003042365
8800,223756.35415928983
9200,219289.38876413874
9600,217448.3113449833
10000,215079.9391809337
10400,213219.99925885367
10800,208927.04156598684
11200,207189.9554505594
11600,204819.4947602656
12000,203530.2948826613
12400,201663.63299042542
12800,200661.52460337058
13200,199118.13827197914
13600,197019.75366960166
14000,195789.58798102525
14400,194520.58107424088
14800,192824.17310002368
15200,191844.20591638607
15600,190975.79802905925
16000,154138.51854546522
16400,152319.81030158486
16800,151484.48296540027
17200,150956.9179998222
17600,149406.66376899858
18000,148565.9333624261
18400,146707.44445280504
18800,146381.00238831664
19200,145949.4871543494
19600,145211.93944109912
20000,143870.96739829227
20400,143397.2279523654
20800,142556.37906782664
21200,142251.6497840022
21600,141939.2953933218
22000,141514.89686956146
22400,141069.27174247563
22800,140816.8476971052
23200,140609.5096850431
23600,139790.48451194222
24000,139397.11681782606
24400,138877.80050675862
24800,138471.36969152268
25200,138258.54284861838
